,Schools in Building,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1028,P.S. 050 Talfourd Lawn Elementary School | 143-26 101 Avenue,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11691.0,40.603622,-73.749097,14.0,31.0,103202.0,4298234.0,4155570025.0,Far Rockaway-Bayswater                                                     
1029,I.S. 254,0.0,3.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10452.0,40.838224,-73.927891,4.0,16.0,193.0,2117349.0,2025270058.0,Highbridge                                                                 
1030,Bronx Latin|Bronx Career and College Preparatory High School|Dr. Richard Izquierdo Health and Science Charter S|800 HOME STREET CONSOLIDATED LOCATION,2.0,2.0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,10456.0,40.827743,-73.900105,3.0,16.0,131.0,2004868.0,2026710011.0,Longwood                                                                   
1031,J.H.S. 127 The Castle Hill |  Linden Tree Elementary School |  1560 PURDY STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10460.0,40.845878,-73.886184,6.0,15.0,371.0,2012957.0,2031090001.0,East Tremont                                                               
1032,P.S. 093 Albert G. Oliver I Icahn Charter School 7 | 1535 Story Avenue,0.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10463.0,40.882898,-73.891256,8.0,11.0,281.0,2015472.0,2032520182.0,Van Cortlandt Village                                                      
1033,P.S. 017 Henry David Thoreau|  The 30th Avenue School (G&T Citywide)|  28-37 29 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11355.0,40.758689,-73.824832,7.0,20.0,855.0,4114657.0,4050470001.0,Flushing                                                                   
1034,Academy for Scholarship and Entrepreneurship: A Co |  New World High School |  The Bronxwood Preparatory Academy |  921 EAST 228TH STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10463.0,40.879368,-73.909896,8.0,11.0,29302.0,2112838.0,2057160725.0,Spuyten Duyvil-Kingsbridge                                                 
1035,Eagle Academy for Young Men III,4.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11432.0,40.707527,-73.806412,8.0,24.0,236.0,4207510.0,4097070048.0,Briarwood-Jamaica Hills                                                    
1036,P.S. 333 - The Museum School |  The Academy of the Arts |  888 REV J A POLITE AVE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10460.0,40.836575,-73.892817,3.0,17.0,153.0,2009865.0,2029390045.0,Crotona Park East                                                          
1037,P.S. 254 - The Rosa Parks School,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11428.0,40.720619,-73.731997,13.0,23.0,568.0,4231378.0,4108130005.0,Queens Village                                                             
1038,Pioneer Academy,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11426.0,40.746231,-73.727614,13.0,23.0,1567.0,4529900.0,4078700074.0,Bellerose                                                                  
1039,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,,,4C,501-750,,,,,,11354.0,40.765166,-73.82789,7.0,20.0,1161.0,4113172.0,4050020001.0,Flushing                                                                   
1040,Goldie Maple Academy,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11367.0,40.736653,-73.813346,8.0,24.0,122702.0,4146992.0,4067920100.0,Pomonok-Flushing Heights-Hillcrest                                         
1041,Stephen T. Mather Building Arts & Craftsmanship Hi|  BUSINESS OF SPORTS SCHOOL|  Urban Assembly Gateway School for Technology| Success Academy Hell's Kitchen|  439 West 49th Street CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10014.0,40.728677,-74.005993,2.0,3.0,67.0,1009757.0,1005810054.0,West Village                                                               
1042,P.S. 8 Shirlee Solomon,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10304.0,40.622455,-74.078508,1.0,49.0,29.0,5014176.0,5005450110.0,Stapleton-Rosebank                                                         
1043,P.S. 182 Samantha Smith,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11385.0,40.713022,-73.908306,5.0,30.0,595.0,4080234.0,4033650027.0,Ridgewood                                                                  
1044,P.S. 103 Hector Fontanez | 4125 Carpenter Avenue,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10462.0,40.837524,-73.8548,9.0,18.0,222.0,2041211.0,2039460007.0,Parkchester                                                                
1045,P.S. 065 Mother Hale Academy,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10460.0,40.831165,-73.887094,3.0,17.0,157.0,2010916.0,2030080001.0,Crotona Park East                                                          
1046,P.S. 205 Alexander Graham Bell,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11426.0,40.745948,-73.727456,13.0,23.0,1567.0,4529898.0,4078700070.0,Bellerose                                                                  
1047,P.S./M.S. 031 The William Lloyd Garrison |  J.H.S. 151 Lou Gehrig |  KIPP Academy Charter School |  250 EAST 156 STREET CONSOLIDATED LOCATION,,,6C,1001-1250,,,,,,10454.0,40.808034,-73.926204,1.0,8.0,23.0,2097030.0,2022980001.0,Mott Haven-Port Morris                                                     
1048,P.S. X017 |  South Bronx Academy for Applied Media |  Academy of Public Relations |  Jill Chaifetz Transfer High School |  778 FOREST AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10456.0,40.818874,-73.905927,1.0,17.0,77.0,2004690.0,2026550030.0,Melrose South-Mott Haven North                                             
1049,P.S. 033 Edward M. Funk,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11412.0,40.690828,-73.763907,12.0,27.0,366.0,4268900.0,4124390032.0,St. Albans                                                                 
1050,P.S. 236 Langston Hughes | 1871 Walton Avenue,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10473.0,40.814833,-73.85658,9.0,18.0,4.0,2020580.0,2034780018.0,Soundview-Castle Hill-Clason Point-Harding Park                            
1051,Eximius College Preparatory Academy: A College Boa |  Bronx Center for Science and Mathematics |  1363 FULTON AVENUE CONSOLIDATED LOCATION,5.0,2.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10457.0,40.840891,-73.898166,3.0,15.0,165.0,2009659.0,2029300001.0,Claremont-Bathgate                                                         
1052,P.S./M.S. 031 The William Lloyd Garrison |  J.H.S. 151 Lou Gehrig |  KIPP Academy Charter School |  250 EAST 156 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10475.0,40.872614,-73.833698,10.0,12.0,46201.0,2097470.0,2051410150.0,Co-op City                                                                 
1053,P.S. 209,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10453.0,40.852536,-73.921467,5.0,16.0,53.0,2009253.0,2028820130.0,University Heights-Morris Heights                                          
1054,"Institute for Health Professions at Cambria Height|Benjamin Franklin High School for Finance & Inform|Mathematics, Science Research and Technology Magne|Law, Government and Community Service High School|Business, Computer Applications & Entrepreneurship|Humanities & Arts Magnet High School|207- 01 116TH  AVENUE CONSOLIDATED LOCATION",2.0,4.0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,11367.0,40.73439,-73.821392,8.0,24.0,809.0,4538714.0,4065070200.0,Kew Gardens Hills                                                          
1055,John Adams High School|John Adams Yabc|101-01 ROCKAWAY BOULEVARD CONSOLIDATED LOCATION,,,10C,2001-2500,,,,,,11385.0,40.711033,-73.908814,5.0,30.0,595.0,4080227.0,4033630001.0,Ridgewood                                                                  
1056,P.S. 072 Dr. William Dorney,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10474.0,40.815477,-73.88577,2.0,17.0,117.0,2006566.0,2027630279.0,Hunts Point                                                                
1057,P.S. 035 Franz Siegel,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10459.0,40.817512,-73.898212,2.0,17.0,87.0,2005616.0,2027100001.0,Longwood                                                                   
1058,"I.S. 250 The Robert F. Kennedy Community Middle Sc |  Queens School of Inquiry, The |  P.S. Q255 |  158-40 76 ROAD CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11360.0,40.782298,-73.779099,7.0,19.0,99704.0,4131147.0,4058650050.0,Ft. Totten-Bay Terrace-Clearview                                           
1059,P.S. 306 |  The Bronx School of Young Leaders |  40 WEST TREMONT AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10462.0,40.843523,-73.865496,11.0,13.0,238.0,2097571.0,2040370001.0,Van Nest-Morris Park-Westchester Square                                    
1060,Ralph R. McKee Career and Technical Education High,1.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10301.0,40.634032,-74.078611,1.0,49.0,21.0,5013382.0,5005060081.0,Stapleton-Rosebank                                                         
1061,P.S. 120 Queens,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11436.0,40.678296,-73.79562,12.0,28.0,18402.0,4260828.0,4120190010.0,Baisley Park                                                               
1062,Thurgood Marshall Academy for Learning and Social,2.0,2.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11370.0,40.770335,-73.894476,1.0,22.0,317.0,4021375.0,4009710001.0,Steinway                                                                   
1063,I.S. 192 The Linden |  Pathways College Preparatory School: A College Boa |  109-89 204 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11357.0,40.792483,-73.809741,7.0,19.0,987.0,4103056.0,4045380001.0,Whitestone                                                                 
1064,P.S. 75 School of Research and Discovery,2.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10472.0,40.830691,-73.877743,9.0,18.0,54.0,2088553.0,2037750025.0,West Farms-Bronx River                                                     
1065,Eagle Academy for Young Men,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10455.0,40.81825,-73.91103,1.0,17.0,71.0,2001153.0,2023590240.0,Melrose South-Mott Haven North                                             
1066,P.S. 085 Great Expectations,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10456.0,40.837275,-73.913574,4.0,16.0,17902.0,2094533.0,2028300017.0,East Concourse-Concourse Village                                           
1067,P.S. 152 Evergreen | 1007 Evergreen Avenue,1.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10455.0,40.811162,-73.909804,1.0,8.0,35.0,2003910.0,2025780027.0,Mott Haven-Port Morris                                                     
1068,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,,,9C,1751-2000,,,,,,11354.0,40.765166,-73.82789,7.0,20.0,1161.0,4113172.0,4050020001.0,Flushing                                                                   
1069,P.S. 212 |  Urban Scholars Community School |  1180 TINTON AVENUE CONSOLIDATED LOCATION,3.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10458.0,40.856723,-73.897885,5.0,15.0,38301.0,2103868.0,2031460072.0,Fordham South                                                              
1070,P.S. 032 Belmont,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10451.0,40.827304,-73.91767,4.0,16.0,18302.0,2101573.0,2024460043.0,East Concourse-Concourse Village                                           
1071,I.S. 034 Tottenville,1.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10306.0,40.575665,-74.101624,2.0,50.0,11202.0,5054213.0,5037320006.0,New Dorp-Midland Beach                                                     
1072,P.S. 048 William G. Wilcox,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10301.0,40.642992,-74.076954,1.0,49.0,3.0,5000084.0,5000080060.0,West New Brighton-New Brighton-St. George                                  
1073,P.S. 018 Park Terrace,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10036.0,40.760851,-73.99626,4.0,3.0,129.0,1026924.0,1010720015.0,Clinton                                                                    
1074,P.S. 205 Fiorello Laguardia,1.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10457.0,40.8486,-73.893654,6.0,15.0,37504.0,2011844.0,2030610055.0,East Tremont                                                               
1075,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Bronx High School of Business |Bronx High School for Medical Science |Jonathan Levin High School for Media and Communica |Claremont International HS |240 EAST 172 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10457.0,40.840422,-73.91091,4.0,16.0,225.0,2007806.0,2028170002.0,East Concourse-Concourse Village                                           
1076,P.S. X037 - Multiple Intelligence School,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10459.0,40.817512,-73.898212,2.0,17.0,87.0,2005616.0,2027100001.0,Longwood                                                                   
1077,Pan American International High School at Monroe|The Metropolitan Soundview High School|High School of World Cultures|Monroe Academy for Visual Arts & Design|1300 BOYNTON AVENUE CONSOLIDATED LOCATION ,7.0,3.0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,10472.0,40.831416,-73.877785,9.0,18.0,56.0,2117663.0,2038640012.0,West Farms-Bronx River                                                     
1078,P.S. 175 The Lynn Gross Discovery School,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11423.0,40.724479,-73.777454,8.0,23.0,1277.0,4156558.0,4072770001.0,Jamaica Estates-Holliswood                                                 
1079,P.S. 064 Pura Belpre |  The Walton Avenue School |  Lucero Elementary School |  1425 WALTON AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10460.0,40.831165,-73.887094,3.0,17.0,157.0,2010916.0,2030080001.0,Crotona Park East                                                          
1080,HS Arts & Business Yabc |  High School for Arts and Business |  105-25 HORACE HARDING EXPY N CONSOLIDATED LOCATION,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11354.0,40.765166,-73.82789,7.0,20.0,1161.0,4113172.0,4050020001.0,Flushing                                                                   
1081,P.S. 049 Willis Avenue,1.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10460.0,40.834157,-73.887512,3.0,17.0,157.0,2010786.0,2029960010.0,Crotona Park East                                                          
1082,M.S. 129 Academy for Independent Learning and Lead |  Kappa III |  2055 MAPES AVENUE CONSOLIDATED LOCATION,4.0,1.0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,10455.0,40.817721,-73.902421,2.0,17.0,85.0,2005168.0,2026880001.0,Longwood                                                                   
1083,Channel View School for Research| Rockaway Park High School for Environmental Sustai| Rockaway Collegiate High School| 100-00 BEACH CHANNEL DRIVE CONSOLIDATED LOCATION,,,5C,751-1000,,,,,,11694.0,40.586066,-73.822624,14.0,32.0,94201.0,4303773.0,4161670099.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
1084,J.H.S. 226 Virgil I. Grissom | Hawtree Creek Middle School | Epic High School - South | 121-10 ROCKAWAY BOULEVARD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11369.0,40.758408,-73.874472,3.0,21.0,353.0,4034891.0,4014230001.0,East Elmhurst                                                              
1085,P.S. 056 Harry Eichler,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11421.0,40.692179,-73.852636,9.0,32.0,18.0,4184144.0,4089290058.0,Woodhaven                                                                  
1086,Queens Collegiate: A College Board School| Hillside Arts & Letters Academy| High School for Community Leadership| Jamaica Gateway to the Sciences| 167-01 GOTHIC DRIVE CONSOLIDATED LOCATION,7.0,1.0,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,11418.0,40.695888,-73.833681,9.0,28.0,124.0,4195688.0,4093210001.0,Richmond Hill                                                              
1087,Kappa |  I.S. 219 New Venture School |  Frederick Douglass Academy III Secondary School |  3630 THIRD AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10454.0,40.813983,-73.920782,1.0,8.0,43.0,2097038.0,2023060054.0,Mott Haven-Port Morris                                                     
